iter	RMSE
233	1.36536693
234	1.364284293
235	1.362947618
236	1.360929614
237	1.359341078
238	1.35801679
239	1.35605807
240	1.354396742
241	1.352049072
242	1.350709071
243	1.349784393
244	1.348156767
245	1.345744009
246	1.342872292
247	1.341528243
248	1.339878246
249	1.338055454
250	1.33623664
251	1.334978308
252	1.333118102
253	1.331791084
254	1.329988129
255	1.328525529
256	1.326571063
257	1.325230701
258	1.323614776
259	1.321869631
260	1.320443909
261	1.318269735
262	1.315752667
263	1.314790139
264	1.313561569
265	1.312385759
266	1.311255309
267	1.309727391
268	1.307454586
269	1.305820408
270	1.304549797
271	1.303249541
272	1.30202787
273	1.299479687
274	1.297755645
275	1.29619178
276	1.295245116
277	1.293294716
278	1.292107652
279	1.291017098
280	1.290227856
281	1.288907971
282	1.28765032
283	1.286262917
284	1.28500551
285	1.284177709
286	1.282920901
287	1.281357388
288	1.280173234
289	1.279541436
290	1.277559269
291	1.276195432
292	1.27458939
293	1.273489479
294	1.272273713
295	1.271452081
296	1.269934476
297	1.267689314
298	1.266251745
299	1.264882819
300	1.263154162
301	1.261762663
302	1.260479801
303	1.258581889
304	1.256875439
305	1.25540339
306	1.254452465
307	1.252800147
308	1.251423706
309	1.250102975
310	1.248917016
311	1.247084719
312	1.245455292
313	1.243641697
314	1.242326238
315	1.24143616
316	1.239356176
317	1.237861919
318	1.236493896
319	1.235352655
320	1.23394933
321	1.232042842
322	1.23015133
323	1.22923514
324	1.227197047
325	1.225783382
326	1.225066301
327	1.223596996
328	1.222294295
329	1.221236623
330	1.220506527
331	1.218692823
332	1.217138331
333	1.215369001
334	1.214533127
335	1.213625615
336	1.212860684
337	1.211675813
338	1.209673429
339	1.208228568
340	1.206376862
341	1.205617496
342	1.20385656
343	1.202247635
344	1.200631494
345	1.199417867
346	1.198368921
347	1.197685046
348	1.196152362
349	1.195294299
350	1.193890456
351	1.19269696
352	1.190611677
353	1.189197914
354	1.187875082
355	1.186502408
356	1.184742296
357	1.182546632
358	1.181181336
359	1.179734145
360	1.178419868
361	1.177375059
362	1.175852248
363	1.17423292
364	1.172269566
365	1.171551673
366	1.170495558
367	1.168721836
368	1.167352485
369	1.165820284
370	1.165091069
371	1.163600305
372	1.162472587
373	1.16104479
374	1.159344741
375	1.157302196
376	1.156637649
377	1.155437929
378	1.154444638
379	1.153037198
380	1.15187974
381	1.150465306
382	1.14874564
383	1.147585529
384	1.146370843
385	1.144468689
386	1.143867554
387	1.142875491
388	1.141818819
389	1.140478768
390	1.139448748
391	1.138570618
392	1.137644703
393	1.136905588
394	1.135903387
395	1.135041707
396	1.133959348
397	1.133139985
398	1.131935662
399	1.131099646
400	1.130046884
401	1.128514548
402	1.127410749
403	1.125841929
404	1.124975462
405	1.12377603
406	1.122675774
407	1.121452009
408	1.120077108
409	1.119443583
410	1.118014015
411	1.117280972
412	1.116057059
413	1.115478983
414	1.114597508
415	1.113548571
416	1.112222809
417	1.111398399
418	1.110024228
419	1.108841165
420	1.107741627
421	1.10621995
422	1.104707783
423	1.103770409
424	1.102558306
425	1.101623746
426	1.100610849
427	1.099366209
428	1.098646984
429	1.097250346
430	1.095902706
431	1.094858237
432	1.093548983
433	1.092700071
434	1.091789379
435	1.090542574
436	1.089683019
437	1.088852865
438	1.087867133
439	1.087055066
440	1.085701776
441	1.085006928
442	1.084010063
443	1.082692611
444	1.082270852
445	1.081252357
446	1.079752803
447	1.078716803
448	1.077023312
449	1.0762925
450	1.07522528
451	1.074728546
452	1.073707241
453	1.072760445
454	1.071841591
455	1.070918337
456	1.070086165
457	1.068953584
458	1.067769944
459	1.066633154
460	1.066076391
461	1.065015604
462	1.063916485
463	1.062790708
464	1.062245004
465	1.060534312
466	1.059506795
467	1.058313678
468	1.057493358
469	1.056045608
470	1.054679708
471	1.053647926
472	1.052377826
473	1.051402132
474	1.05074673
475	1.049662446
476	1.048037518
477	1.046821493
478	1.046101744
479	1.0451595
480	1.044191818
481	1.04302902
482	1.04137479
483	1.040179774
484	1.039175792
485	1.037667914
486	1.036436382
487	1.035658817
488	1.034515576
489	1.033603408
490	1.032808051
491	1.031927727
492	1.031333008
493	1.030868168
494	1.029933256
495	1.029379891
496	1.027977485
497	1.027277347
498	1.026310757
499	1.025092414
500	1.023938319
501	1.0228421
502	1.021728599
503	1.020616452
504	1.019642819
505	1.019055693
506	1.018307187
507	1.016949715
508	1.015973712
509	1.01519777
510	1.014209398
511	1.013200895
512	1.01180188
513	1.010701865
514	1.009340987
515	1.008476733
516	1.007096481
517	1.00631868
518	1.00509863
519	1.004656454
520	1.003890418
521	1.002807682
522	1.001104395
523	1.000273651
524	0.9992788307
525	0.9982831357
526	0.997345958
527	0.9963803561
528	0.9959230509
529	0.9947446058
530	0.9937707515
531	0.9926182496
532	0.991798575
533	0.9909531994
534	0.9900084816
535	0.9887973188
536	0.9873480487
537	0.9861837604
538	0.9853025202
539	0.984271476
540	0.9830712564
541	0.9826182584
542	0.9820176014
543	0.9804701905
544	0.9799089161
545	0.9790222647
546	0.9781174176
547	0.9776557467
548	0.9769210225
549	0.9758806669
550	0.9747640669
551	0.9735563751
552	0.9726074158
553	0.9712662786
554	0.9707083369
555	0.9695634197
556	0.968519406
557	0.967380918
558	0.9667956017
559	0.9659230081
560	0.9651857909
561	0.9639227802
562	0.9631398418
563	0.9621973818
564	0.9614762564
565	0.9606217147
566	0.9599382032
567	0.9589833461
568	0.9581327859
569	0.9572493274
570	0.9564674579
571	0.9553457193
572	0.9544336503
573	0.9531073961
574	0.952003641
575	0.9513119452
576	0.950516405
577	0.9498331721
578	0.9489580281
579	0.9483793981
580	0.9475244277
581	0.9465995675
582	0.9458931722
583	0.944598805
584	0.9436754976
585	0.943146823
586	0.9422396634
587	0.9413502247
588	0.9406925101
589	0.9398636711
590	0.9391741118
591	0.9387217871
592	0.9375112294
593	0.9368472444
594	0.9357821379
595	0.9351295721
596	0.9341757651
597	0.9332340368
598	0.9322753261
599	0.9315722737
600	0.9305754166
601	0.9297615334
602	0.9294082728
603	0.9283141381
604	0.9276735253
605	0.9271052821
606	0.9256334003
607	0.925172033
608	0.9242014089
609	0.9234816501
610	0.9227315347
611	0.9218662161
612	0.9214415329
613	0.9207997284
614	0.9200696893
615	0.9192503321
616	0.9183414673
617	0.9169564861
618	0.9158378909
619	0.9148186608
620	0.9141159346
621	0.9134458368
622	0.9126853447
623	0.9119040238
624	0.9109052563
625	0.9101051691
626	0.9089360819
627	0.9082023872
628	0.9076434322
629	0.9065458905
630	0.9060763218
631	0.9050356514
632	0.9042891965
633	0.9033663276
634	0.9023951499
635	0.9013558918
636	0.9005203003
637	0.8998571059
638	0.8995287021
639	0.8983821003
640	0.8973090131
641	0.896814386
642	0.8960790378
643	0.8953836845
644	0.8942702712
645	0.8937965366
646	0.8927529508
647	0.8920693753
648	0.8915188233
649	0.890719811
650	0.8901030156
651	0.8891797509
652	0.8883934215
653	0.8873939398
654	0.8866191659
655	0.8855590185
656	0.8843214025
657	0.883723277
658	0.8830318421
659	0.8824111585
660	0.8818421989
661	0.8807619704
662	0.8797407234
663	0.8788048354
664	0.8783919812
665	0.8776004817
666	0.8772976982
667	0.8763917486
668	0.8752710097
669	0.8745400723
670	0.87402813
671	0.873495891
672	0.8723994187
673	0.871650655
674	0.8711023176
675	0.8703624627
676	0.8695223788
677	0.868651362
678	0.8675934596
679	0.8670871627
680	0.8662176023
681	0.86535739
682	0.8647937988
683	0.8639090302
684	0.8629271766
685	0.8621020173
686	0.8609015845
687	0.8601052028
688	0.8593923931
689	0.8586576621
690	0.8577280027
691	0.8567926851
692	0.8561861077
693	0.8556219749
694	0.8547817756
695	0.8542944391
696	0.8535591768
697	0.8527049156
698	0.8517163186
699	0.8509390588
700	0.8505151907
701	0.8495234869
702	0.8483064035
703	0.8477518401
704	0.8469904009
705	0.8463900297
706	0.8455245701
707	0.8449925509
708	0.8445953992
709	0.8438395201
710	0.8433637677
711	0.8426116118
712	0.8419884778
713	0.8411339532
714	0.8406496124
715	0.8401060029
716	0.839248103
717	0.8385047542
718	0.8379034581
719	0.8371678269
720	0.8361752671
721	0.8356273009
722	0.8346366771
723	0.8338137376
724	0.8327904482
725	0.8320489043
726	0.8315972741
727	0.8304960191
728	0.8301060205
729	0.8293571919
730	0.8282914524
731	0.8277755063
732	0.8270711675
733	0.8263370436
734	0.8256790448
735	0.8251498684
736	0.8245373972
737	0.8238121441
738	0.8229540105
739	0.8223856958
740	0.8218591733
741	0.8213608745
742	0.8205639058
743	0.8199236601
744	0.8193470129
745	0.8185168189
746	0.8178472948
747	0.8170665608
748	0.815876667
749	0.8152848802
750	0.8146273235
751	0.8140661901
752	0.8134595943
753	0.8124560987
754	0.8117969171
755	0.8112714818
756	0.8104806295
757	0.8099855431
758	0.8089292777
759	0.8081703601
760	0.8073266326
761	0.8064917146
762	0.8055673628
763	0.8049767749
764	0.8041930555
765	0.8034608712
766	0.8027972159
767	0.8021194154
768	0.8010620879
769	0.8003924713
770	0.7994231382
771	0.7987782275
772	0.7981026412
773	0.7970356733
774	0.7965270728
775	0.7959074372
776	0.7952729266
777	0.7944242214
778	0.7938183686
779	0.7931099708
780	0.7923971134
781	0.7915202937
782	0.7908362727
783	0.7901414658
784	0.7893147245
785	0.7888778167
786	0.7879978231
787	0.7871104664
788	0.7868292431
789	0.7864236136
790	0.7857841199
791	0.7852090939
792	0.7846338228
793	0.7838135999
794	0.7829325819
795	0.7825228738
796	0.7819137359
797	0.7811822283
798	0.7803786902
799	0.7796588336
800	0.7790148553
801	0.7784293585
802	0.7779815484
803	0.7775426883
804	0.7768706989
805	0.7764478038
806	0.7763019204
807	0.775639066
808	0.7750298796
809	0.7745007324
810	0.7740422336
811	0.7733730193
812	0.7726414454
813	0.7718994016
814	0.7713001756
815	0.7706005052
816	0.7696150432
817	0.768893539
818	0.76812113
819	0.7675193556
820	0.767128286
821	0.7664160735
822	0.7661782797
823	0.765375532
824	0.7645844555
825	0.7639912331
826	0.7633420349
827	0.7627845086
828	0.7622932863
829	0.761701684
830	0.7609231536
831	0.7601487124
832	0.7594768669
833	0.7582597373
834	0.757475487
835	0.7568343785
836	0.7563828262
837	0.7561245839
838	0.7554075905
839	0.7546756052
840	0.7537787227
841	0.7531466927
842	0.7528031913
843	0.7521385332
844	0.7517229305
845	0.7510240514
846	0.7497579444
847	0.7494582621
848	0.7483988966
849	0.7478697046
850	0.7474746537
851	0.7468380336
852	0.74634327
853	0.7455750247
854	0.7449160495
855	0.7443967194
856	0.7441042374
857	0.7433448954
858	0.7428528773
859	0.7425771434
860	0.742146422
861	0.7419130085
862	0.7416169886
863	0.7405904245
864	0.7399892075
865	0.7394265739
866	0.7388296849
867	0.7381718017
868	0.7374399095
869	0.7370556458
870	0.736620528
871	0.7359586926
872	0.7350442643
873	0.734581821
874	0.7340041973
875	0.7332540205
876	0.7324864102
877	0.7316967579
878	0.7312362304
879	0.7305771435
880	0.7301139737
881	0.7295078877
882	0.7291428143
883	0.7286504818
884	0.7281100283
885	0.7275928775
886	0.727207621
887	0.7268148523
888	0.7259658905
889	0.725531766
890	0.725005314
891	0.7246018764
892	0.7239808286
893	0.723539048
894	0.7227728012
895	0.7224467882
896	0.722029262
897	0.7215078456
898	0.721204937
899	0.7206955554
900	0.7200029467
901	0.7193571426
902	0.7190385253
903	0.7181858013
904	0.7176699725
905	0.7173641791
906	0.7170781172
907	0.7169410305
908	0.7161862755
909	0.7156936594
910	0.7152068397
911	0.7147286917
912	0.7138789132
913	0.7131169221
914	0.7126063949
915	0.7118266766
916	0.7112610409
917	0.7107997942
918	0.7104441795
919	0.7100915035
920	0.7096479251
921	0.7087100249
922	0.7083122096
923	0.7075764994
924	0.7071726789
925	0.70668044
926	0.7062206975
927	0.7057409703
928	0.7051737396
929	0.7045216718
930	0.7037465404
931	0.7029921593
932	0.7020729158
933	0.7014528083
934	0.701310248
935	0.7010002611
936	0.7006558796
937	0.6998684501
938	0.6992747549
939	0.6988627966
940	0.698225231
941	0.6977584224
942	0.697503527
943	0.6970389897
944	0.6963035916
945	0.6959278352
946	0.6952278658
947	0.6948324816
948	0.6943905616
949	0.6936917454
950	0.6931007082
951	0.6925652214
952	0.6919877557
953	0.6909748767
954	0.6904374008
955	0.6899714251
956	0.6891900957
957	0.6886840126
958	0.6882976075
959	0.6879672216
960	0.6872759098
961	0.6870445887
962	0.6867672634
963	0.6861203633
964	0.6853647889
965	0.6848037302
966	0.6841774844
967	0.6837060521
968	0.6830772149
969	0.6826603993
970	0.6822047962
971	0.6816887316
972	0.6813237041
973	0.6807635925
974	0.6803513326
975	0.6797571953
976	0.6792529445
977	0.6785977435
978	0.6783954445
979	0.6779195164
980	0.6772476488
981	0.6767067776
982	0.6761132432
983	0.6755830693
984	0.6748892976
985	0.6743572982
986	0.673771913
987	0.6729283984
988	0.6724086345
989	0.6721287686
990	0.6715906037
991	0.6711203094
992	0.670469807
993	0.6701931406
994	0.66953339
995	0.6689635531
996	0.6682392316
997	0.667688519
998	0.6672363935
999	0.66673563
