iter	Passed	Remaining
430	1697	2240
431	1702	2238
432	1706	2234
433	1713	2235
434	1718	2232
435	1724	2230
436	1729	2228
437	1734	2225
438	1739	2223
439	1746	2222
440	1751	2219
441	1754	2215
442	1761	2214
443	1767	2213
444	1772	2210
445	1776	2206
446	1779	2201
447	1783	2197
448	1787	2193
449	1790	2188
450	1794	2184
451	1797	2178
452	1801	2175
453	1804	2170
454	1807	2165
455	1810	2160
456	1814	2155
457	1818	2151
458	1821	2146
459	1824	2141
460	1828	2137
461	1831	2132
462	1834	2128
463	1838	2123
464	1841	2119
465	1845	2114
466	1848	2109
467	1851	2105
468	1855	2100
469	1858	2095
470	1861	2091
471	1866	2087
472	1869	2082
473	1872	2078
474	1876	2073
475	1880	2069
476	1883	2064
477	1886	2060
478	1890	2056
479	1895	2052
480	1898	2048
481	1902	2044
482	1906	2040
483	1909	2036
484	1913	2032
485	1918	2029
486	1921	2024
487	1925	2019
488	1928	2015
489	1932	2011
490	1937	2008
491	1940	2003
492	1944	1999
493	1949	1996
494	1952	1991
495	1956	1987
496	1959	1983
497	1963	1979
498	1967	1975
499	1971	1971
500	1974	1966
501	1977	1962
502	1982	1958
503	1985	1954
504	1988	1949
505	1992	1944
506	1997	1942
507	2000	1937
508	2003	1932
509	2007	1928
510	2010	1924
511	2013	1919
512	2016	1914
513	2020	1910
514	2024	1906
515	2028	1902
516	2031	1897
517	2035	1893
518	2038	1889
519	2041	1884
520	2044	1880
521	2048	1876
522	2052	1871
523	2055	1867
524	2059	1863
525	2063	1859
526	2066	1854
527	2069	1850
528	2073	1846
529	2076	1841
530	2080	1837
531	2083	1832
532	2088	1829
533	2091	1825
534	2095	1820
535	2099	1817
536	2103	1813
537	2106	1809
538	2110	1804
539	2114	1801
540	2118	1797
541	2121	1793
542	2125	1789
543	2128	1784
544	2132	1780
545	2135	1775
546	2139	1771
547	2142	1767
548	2145	1762
549	2149	1758
550	2152	1754
551	2156	1749
552	2159	1745
553	2163	1741
554	2166	1736
555	2169	1732
556	2172	1728
557	2176	1724
558	2180	1720
559	2183	1715
560	2186	1711
561	2190	1707
562	2194	1703
563	2197	1698
564	2201	1694
565	2204	1690
566	2207	1686
567	2211	1681
568	2215	1678
569	2219	1674
570	2222	1669
571	2225	1665
572	2229	1661
573	2232	1656
574	2235	1652
575	2239	1648
576	2242	1644
577	2246	1640
578	2249	1635
579	2253	1631
580	2256	1627
581	2260	1623
582	2263	1619
583	2268	1615
584	2271	1611
585	2274	1606
586	2278	1603
587	2283	1599
588	2286	1595
589	2290	1591
590	2294	1587
591	2297	1583
592	2300	1578
593	2303	1574
594	2308	1571
595	2313	1567
596	2316	1563
597	2321	1560
598	2324	1556
599	2327	1551
600	2332	1548
601	2336	1544
602	2339	1540
603	2342	1536
604	2346	1532
605	2350	1528
606	2353	1523
607	2357	1519
608	2360	1515
609	2363	1511
610	2366	1506
611	2369	1502
612	2373	1498
613	2376	1493
614	2379	1489
615	2383	1485
616	2387	1481
617	2390	1477
618	2393	1473
619	2397	1469
620	2401	1465
621	2404	1461
622	2408	1457
623	2412	1453
624	2416	1449
625	2420	1445
626	2424	1442
627	2427	1437
628	2430	1433
629	2433	1429
630	2438	1426
631	2441	1421
632	2444	1417
633	2448	1413
634	2451	1409
635	2455	1405
636	2458	1401
637	2462	1397
638	2466	1393
639	2469	1389
640	2472	1384
641	2476	1380
642	2479	1376
643	2482	1372
644	2486	1368
645	2489	1364
646	2492	1360
647	2496	1356
648	2500	1352
649	2503	1347
650	2506	1343
651	2509	1339
652	2513	1335
653	2517	1331
654	2520	1327
655	2523	1323
656	2527	1319
657	2530	1315
658	2533	1311
659	2536	1306
660	2541	1303
661	2544	1299
662	2547	1294
663	2550	1290
664	2554	1286
665	2557	1282
666	2560	1278
667	2563	1274
668	2567	1270
669	2570	1266
670	2574	1262
671	2577	1258
672	2580	1253
673	2584	1249
674	2587	1245
675	2591	1241
676	2594	1237
677	2597	1233
678	2601	1229
679	2604	1225
680	2608	1221
681	2612	1217
682	2615	1214
683	2619	1210
684	2623	1206
685	2626	1202
686	2630	1198
687	2634	1194
688	2638	1190
689	2641	1186
690	2645	1183
691	2648	1178
692	2651	1174
693	2655	1171
694	2659	1167
695	2663	1163
696	2666	1159
697	2670	1155
698	2673	1151
699	2676	1147
700	2679	1143
701	2683	1139
702	2686	1135
703	2689	1131
704	2692	1126
705	2696	1123
706	2699	1118
707	2703	1114
708	2706	1110
709	2710	1107
710	2713	1102
711	2716	1098
712	2719	1094
713	2723	1090
714	2726	1086
715	2729	1082
716	2734	1079
717	2737	1075
718	2740	1071
719	2743	1066
720	2747	1063
721	2750	1059
722	2753	1055
723	2756	1050
724	2760	1047
725	2764	1043
726	2767	1039
727	2770	1035
728	2774	1031
729	2777	1027
730	2780	1023
731	2784	1019
732	2788	1015
733	2791	1011
734	2795	1007
735	2799	1004
736	2803	1000
737	2806	996
738	2810	992
739	2813	988
740	2817	984
741	2820	980
742	2824	976
743	2828	973
744	2831	969
745	2834	965
746	2838	961
747	2841	957
748	2844	953
749	2847	949
750	2852	945
751	2855	941
752	2858	937
753	2861	933
754	2865	929
755	2868	925
756	2871	921
757	2874	917
758	2878	914
759	2882	910
760	2885	906
761	2888	902
762	2892	898
763	2895	894
764	2898	890
765	2901	886
766	2905	882
767	2908	878
768	2911	874
769	2914	870
770	2918	866
771	2922	863
772	2925	859
773	2929	855
774	2932	851
775	2935	847
776	2938	843
777	2943	839
778	2946	835
779	2949	831
780	2952	827
781	2956	824
782	2959	820
783	2962	816
784	2966	812
785	2985	812
786	2988	808
787	2992	804
788	2995	801
789	2999	797
790	3002	793
791	3005	789
792	3009	785
793	3012	781
794	3016	777
795	3019	773
796	3022	769
797	3026	765
798	3029	762
799	3033	758
800	3036	754
801	3039	750
802	3042	746
803	3048	743
804	3053	739
805	3057	735
806	3062	732
807	3066	728
808	3069	724
809	3074	721
810	3077	717
811	3081	713
812	3086	709
813	3090	706
814	3093	702
815	3098	698
816	3103	695
817	3107	691
818	3111	687
819	3115	683
820	3119	680
821	3122	676
822	3126	672
823	3130	668
824	3133	664
825	3138	661
826	3142	657
827	3145	653
828	3149	649
829	3153	645
830	3157	642
831	3160	638
832	3165	634
833	3169	630
834	3172	626
835	3176	623
836	3180	619
837	3183	615
838	3186	611
839	3190	607
840	3194	603
841	3197	599
842	3200	595
843	3204	592
844	3207	588
845	3211	584
846	3214	580
847	3218	576
848	3221	572
849	3224	568
850	3227	565
851	3231	561
